index,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,Selected_region
369,El Coto,2015,8619,Crianza 2015,3.6,8949,6.1,España,Rioja Alavesa,other
370,Beronia,2018,20796,Rioja Crianza 2018,3.6,792,6.11,España,Rioja,Rioja
371,Estancia Piedra,2019,7052007,Cantadal Joven 2019,3.1,108,6.15,España,Toro,other
372,Alsina & Sarda,2019,3392138,Finca Cal Janes Merlot 2019,3.9,49,6.15,España,Panadés,other
373,Gran Recosind,2016,1248739,Criança 2016,3.5,88,6.18,España,Empordà,other
374,Castillo Perelada,2019,2352415,Empordà Jardins Negre 2019,3.3,144,6.2,España,Empordà,other
375,Marqués de Cáceres,2020,1623960,Rioja Ecológico Bio 2020,3.6,60,6.2,España,Rioja,Rioja
376,Estancia Piedra,2020,7052007,Cantadal Joven 2020,3.5,78,6.2,España,Toro,other
377,Bodegas Cosme Palacio,2018,2260236,Glorioso  Rioja Crianza 2018,3.8,37,6.2,España,Rioja,Rioja
378,La Maldita,2018,2723412,Garnacha 2018,3.6,1105,6.2,España,Rioja,Rioja
379,Celler Masroig,2020,1737208,Les Sorts Jove 2020,3.3,64,6.2,España,Montsant,Catalunya Sul
380,Bernavi,2019,6574923,Xalera Tinto 2019,3.3,61,6.2,España,Terra Alta,Catalunya Sul
381,Hacienda López de Haro,2018,1224522,Crianza 2018,3.7,1690,6.2,España,Rioja,Rioja
382,Covitoro,2016,1164451,Gran Cermeño Crianza 2016,3.6,101,6.21,España,Toro,other
383,Pittacum,2020,2758426,Petit Pittacum 2020,3.7,113,6.25,España,Bierzo,other
384,Toresanas,2017,3797044,Orot Roble 2017,3.8,50,6.25,España,Toro,other
385,Cune (CVNE),2018,1135311,Crianza 2018,3.6,2211,6.25,España,Rioja,Rioja
386,Bodegas Care,2019,1246882,Tinto Roble Garnacha - Syrah 2019,3.9,131,6.25,España,Cariñena,Catalunya Sul
387,Carlos Serres,2018,1525045,Rioja Crianza 2018,3.9,717,6.25,España,Rioja,Rioja
388,Monasterio de Las Vinas,2016,2210645,Reserva 2016,3.8,461,6.25,España,Cariñena,Catalunya Sul
389,Señorío de Benidorm,2019,3679621,Roble Monastrell - Syrah 2019,3.5,43,6.25,España,Alicante,other
390,Mas Foraster,2020,4001657,Josep Foraster els Nanos Collita 2020,2.8,125,6.25,España,Conca de Barberà,other
391,Portia,2019,4406501,Roble 2019,3.6,100,6.25,España,Ribera del Duero,Ribera del Duero
392,Castaño,2019,85758,Hécula Monastrell 2019,3.5,521,6.26,España,Yecla,other
393,Bodegas Cosme Palacio,2017,2260236,Glorioso  Rioja Crianza 2017,3.6,122,6.27,España,Rioja,Rioja
394,Bodega Iniesta,2018,6776318,Corazón Loco Bobal 2018,3.5,87,6.28,España,Manchuela,other
